FIPS_Code,State,Area_Name,Attribute,Value
10000,DE,Delaware,Unemployment_rate_2021,5.5
10000,DE,Delaware,Civilian_labor_force_2022,497202
10000,DE,Delaware,Employed_2022,475995
10000,DE,Delaware,Unemployed_2022,21207
10000,DE,Delaware,Unemployment_rate_2022,4.3
10000,DE,Delaware,Civilian_labor_force_2023,506529
10000,DE,Delaware,Employed_2023,486404
10000,DE,Delaware,Unemployed_2023,20125
10000,DE,Delaware,Unemployment_rate_2023,4
10000,DE,Delaware,Median_Household_Income_2022,81933
10000,DE,Delaware,Med_HH_Income_Percent_of_State_Total_2022,100
11000,DC,District of Columbia,Civilian_labor_force_2019,400641
11000,DC,District of Columbia,Employed_2019,378443
11000,DC,District of Columbia,Unemployed_2019,22198
11000,DC,District of Columbia,Unemployment_rate_2019,5.5
11000,DC,District of Columbia,Civilian_labor_force_2020,386235
11000,DC,District of Columbia,Employed_2020,355694
11000,DC,District of Columbia,Unemployed_2020,30541
11000,DC,District of Columbia,Unemployment_rate_2020,7.9
11000,DC,District of Columbia,Civilian_labor_force_2021,377737
11000,DC,District of Columbia,Employed_2021,352029
11000,DC,District of Columbia,Unemployed_2021,25708
11000,DC,District of Columbia,Unemployment_rate_2021,6.8
11000,DC,District of Columbia,Civilian_labor_force_2022,388387
11000,DC,District of Columbia,Employed_2022,369952
11000,DC,District of Columbia,Unemployed_2022,18435
11000,DC,District of Columbia,Unemployment_rate_2022,4.7
11000,DC,District of Columbia,Civilian_labor_force_2023,398251
11000,DC,District of Columbia,Employed_2023,378714
11000,DC,District of Columbia,Unemployed_2023,19537
11000,DC,District of Columbia,Unemployment_rate_2023,4.9
11000,DC,District of Columbia,Median_Household_Income_2022,99897
11000,DC,District of Columbia,Med_HH_Income_Percent_of_State_Total_2022,100
11001,DC,District of Columbia,Rural_Urban_Continuum_Code_2023,1
11001,DC,District of Columbia,Urban_Influence_Code_2013,1
11001,DC,District of Columbia,Metro_2023,1
11001,DC,District of Columbia,Civilian_labor_force_2019,400641
11001,DC,District of Columbia,Employed_2019,378443
11001,DC,District of Columbia,Unemployed_2019,22198
11001,DC,District of Columbia,Unemployment_rate_2019,5.5
11001,DC,District of Columbia,Civilian_labor_force_2020,386235
11001,DC,District of Columbia,Employed_2020,355694
11001,DC,District of Columbia,Unemployed_2020,30541
11001,DC,District of Columbia,Unemployment_rate_2020,7.9
11001,DC,District of Columbia,Civilian_labor_force_2021,377737
11001,DC,District of Columbia,Employed_2021,352029
11001,DC,District of Columbia,Unemployed_2021,25708
11001,DC,District of Columbia,Unemployment_rate_2021,6.8
11001,DC,District of Columbia,Civilian_labor_force_2022,388387
11001,DC,District of Columbia,Employed_2022,369952
11001,DC,District of Columbia,Unemployed_2022,18435
11001,DC,District of Columbia,Unemployment_rate_2022,4.7
11001,DC,District of Columbia,Civilian_labor_force_2023,398251
11001,DC,District of Columbia,Employed_2023,378714
11001,DC,District of Columbia,Unemployed_2023,19537
11001,DC,District of Columbia,Unemployment_rate_2023,4.9
11001,DC,District of Columbia,Median_Household_Income_2022,99897
11001,DC,District of Columbia,Med_HH_Income_Percent_of_State_Total_2022,100
12000,FL,Florida,Civilian_labor_force_2019,10256297
12000,FL,Florida,Employed_2019,9922941
12000,FL,Florida,Unemployed_2019,333356
12000,FL,Florida,Unemployment_rate_2019,3.3
12000,FL,Florida,Civilian_labor_force_2020,10077028
12000,FL,Florida,Employed_2020,9257738
12000,FL,Florida,Unemployed_2020,819290
12000,FL,Florida,Unemployment_rate_2020,8.1
12000,FL,Florida,Civilian_labor_force_2021,10320373
12000,FL,Florida,Employed_2021,9838506
12000,FL,Florida,Unemployed_2021,481867
12000,FL,Florida,Unemployment_rate_2021,4.7
12000,FL,Florida,Civilian_labor_force_2022,10692183
12000,FL,Florida,Employed_2022,10370751
12000,FL,Florida,Unemployed_2022,321432
12000,FL,Florida,Unemployment_rate_2022,3
12000,FL,Florida,Civilian_labor_force_2023,10988566
12000,FL,Florida,Employed_2023,10668886
12000,FL,Florida,Unemployed_2023,319680
12000,FL,Florida,Unemployment_rate_2023,2.9
12000,FL,Florida,Median_Household_Income_2022,69287
12000,FL,Florida,Med_HH_Income_Percent_of_State_Total_2022,100
13000,GA,Georgia,Civilian_labor_force_2019,5165423
13000,GA,Georgia,Employed_2019,4980501
13000,GA,Georgia,Unemployed_2019,184922
13000,GA,Georgia,Unemployment_rate_2019,3.6
13000,GA,Georgia,Civilian_labor_force_2020,5082864
13000,GA,Georgia,Employed_2020,4754102
13000,GA,Georgia,Unemployed_2020,328762
13000,GA,Georgia,Unemployment_rate_2020,6.5
13000,GA,Georgia,Civilian_labor_force_2021,5156388
13000,GA,Georgia,Employed_2021,4954094
13000,GA,Georgia,Unemployed_2021,202294
13000,GA,Georgia,Unemployment_rate_2021,3.9
13000,GA,Georgia,Civilian_labor_force_2022,5222263
13000,GA,Georgia,Employed_2022,5058165
13000,GA,Georgia,Unemployed_2022,164098
13000,GA,Georgia,Unemployment_rate_2022,3.1
13000,GA,Georgia,Civilian_labor_force_2023,5305623
13000,GA,Georgia,Employed_2023,5135833
13000,GA,Georgia,Unemployed_2023,169790
13000,GA,Georgia,Unemployment_rate_2023,3.2
13000,GA,Georgia,Median_Household_Income_2022,72742
13000,GA,Georgia,Med_HH_Income_Percent_of_State_Total_2022,100
15000,HI,Hawaii,Civilian_labor_force_2019,686066
15000,HI,Hawaii,Employed_2019,668769
15000,HI,Hawaii,Unemployed_2019,17297
15000,HI,Hawaii,Unemployment_rate_2019,2.5
15000,HI,Hawaii,Civilian_labor_force_2020,665964
15000,HI,Hawaii,Employed_2020,588159
15000,HI,Hawaii,Unemployed_2020,77805
15000,HI,Hawaii,Unemployment_rate_2020,11.7
15000,HI,Hawaii,Civilian_labor_force_2021,670193
15000,HI,Hawaii,Employed_2021,630151
15000,HI,Hawaii,Unemployed_2021,40042
15000,HI,Hawaii,Unemployment_rate_2021,6
15000,HI,Hawaii,Civilian_labor_force_2022,672727
15000,HI,Hawaii,Employed_2022,650672
15000,HI,Hawaii,Unemployed_2022,22055
15000,HI,Hawaii,Unemployment_rate_2022,3.3
15000,HI,Hawaii,Civilian_labor_force_2023,676355
15000,HI,Hawaii,Employed_2023,656336
15000,HI,Hawaii,Unemployed_2023,20019
15000,HI,Hawaii,Unemployment_rate_2023,3
15000,HI,Hawaii,Median_Household_Income_2022,93683
15000,HI,Hawaii,Med_HH_Income_Percent_of_State_Total_2022,100
16000,ID,Idaho,Civilian_labor_force_2019,888611
16000,ID,Idaho,Employed_2019,862940
16000,ID,Idaho,Unemployed_2019,25671
16000,ID,Idaho,Unemployment_rate_2019,2.9
16000,ID,Idaho,Civilian_labor_force_2020,899807
16000,ID,Idaho,Employed_2020,850130
16000,ID,Idaho,Unemployed_2020,49677
16000,ID,Idaho,Unemployment_rate_2020,5.5
16000,ID,Idaho,Civilian_labor_force_2021,921718
16000,ID,Idaho,Employed_2021,888950
16000,ID,Idaho,Unemployed_2021,32768
16000,ID,Idaho,Unemployment_rate_2021,3.6
16000,ID,Idaho,Civilian_labor_force_2022,944919
16000,ID,Idaho,Employed_2022,918106
16000,ID,Idaho,Unemployed_2022,26813
16000,ID,Idaho,Unemployment_rate_2022,2.8
16000,ID,Idaho,Civilian_labor_force_2023,961506
16000,ID,Idaho,Employed_2023,931748
16000,ID,Idaho,Unemployed_2023,29758
16000,ID,Idaho,Unemployment_rate_2023,3.1
16000,ID,Idaho,Median_Household_Income_2022,72634
16000,ID,Idaho,Med_HH_Income_Percent_of_State_Total_2022,100
17000,IL,Illinois,Civilian_labor_force_2019,6543691
17000,IL,Illinois,Employed_2019,6283464
17000,IL,Illinois,Unemployed_2019,260227
17000,IL,Illinois,Unemployment_rate_2019,4
17000,IL,Illinois,Civilian_labor_force_2020,6321066
17000,IL,Illinois,Employed_2020,5735263
17000,IL,Illinois,Unemployed_2020,585803
17000,IL,Illinois,Unemployment_rate_2020,9.3
17000,IL,Illinois,Civilian_labor_force_2021,6327675
17000,IL,Illinois,Employed_2021,5942191
17000,IL,Illinois,Unemployed_2021,385484
17000,IL,Illinois,Unemployment_rate_2021,6.1
17000,IL,Illinois,Civilian_labor_force_2022,6421708
17000,IL,Illinois,Employed_2022,6127480
17000,IL,Illinois,Unemployed_2022,294228
17000,IL,Illinois,Unemployment_rate_2022,4.6
17000,IL,Illinois,Civilian_labor_force_2023,6437855
17000,IL,Illinois,Employed_2023,6150672
17000,IL,Illinois,Unemployed_2023,287183
17000,IL,Illinois,Unemployment_rate_2023,4.5
17000,IL,Illinois,Median_Household_Income_2022,76744
17000,IL,Illinois,Med_HH_Income_Percent_of_State_Total_2022,100
18000,IN,Indiana,Civilian_labor_force_2019,3399870
18000,IN,Indiana,Employed_2019,3287462
18000,IN,Indiana,Unemployed_2019,112408
18000,IN,Indiana,Unemployment_rate_2019,3.3
18000,IN,Indiana,Civilian_labor_force_2020,3328778
18000,IN,Indiana,Employed_2020,3086279
18000,IN,Indiana,Unemployed_2020,242499
18000,IN,Indiana,Unemployment_rate_2020,7.3
18000,IN,Indiana,Civilian_labor_force_2021,3332745
18000,IN,Indiana,Employed_2021,3201829
18000,IN,Indiana,Unemployed_2021,130916
18000,IN,Indiana,Unemployment_rate_2021,3.9
18000,IN,Indiana,Civilian_labor_force_2022,3373887
18000,IN,Indiana,Employed_2022,3270662
18000,IN,Indiana,Unemployed_2022,103225
18000,IN,Indiana,Unemployment_rate_2022,3.1
18000,IN,Indiana,Civilian_labor_force_2023,3401387
18000,IN,Indiana,Employed_2023,3288017
18000,IN,Indiana,Unemployed_2023,113370
18000,IN,Indiana,Unemployment_rate_2023,3.3
18000,IN,Indiana,Median_Household_Income_2022,66768
18000,IN,Indiana,Med_HH_Income_Percent_of_State_Total_2022,100
19000,IA,Iowa,Civilian_labor_force_2019,1742078
19000,IA,Iowa,Employed_2019,1695474
19000,IA,Iowa,Unemployed_2019,46604
19000,IA,Iowa,Unemployment_rate_2019,2.7
19000,IA,Iowa,Civilian_labor_force_2020,1668401
19000,IA,Iowa,Employed_2020,1582202
19000,IA,Iowa,Unemployed_2020,86199
19000,IA,Iowa,Unemployment_rate_2020,5.2
19000,IA,Iowa,Civilian_labor_force_2021,1679982
19000,IA,Iowa,Employed_2021,1615303
19000,IA,Iowa,Unemployed_2021,64679
19000,IA,Iowa,Unemployment_rate_2021,3.8
19000,IA,Iowa,Civilian_labor_force_2022,1706493
19000,IA,Iowa,Employed_2022,1658263
19000,IA,Iowa,Unemployed_2022,48230
19000,IA,Iowa,Unemployment_rate_2022,2.8
19000,IA,Iowa,Civilian_labor_force_2023,1709402
19000,IA,Iowa,Employed_2023,1659106
19000,IA,Iowa,Unemployed_2023,50296
19000,IA,Iowa,Unemployment_rate_2023,2.9
19000,IA,Iowa,Median_Household_Income_2022,69708
19000,IA,Iowa,Med_HH_Income_Percent_of_State_Total_2022,100
20000,KS,Kansas,Civilian_labor_force_2019,1504415
20000,KS,Kansas,Employed_2019,1456662
20000,KS,Kansas,Unemployed_2019,47753
20000,KS,Kansas,Unemployment_rate_2019,3.2
20000,KS,Kansas,Civilian_labor_force_2020,1501827
20000,KS,Kansas,Employed_2020,1414596
20000,KS,Kansas,Unemployed_2020,87231
20000,KS,Kansas,Unemployment_rate_2020,5.8
20000,KS,Kansas,Civilian_labor_force_2021,1498226
20000,KS,Kansas,Employed_2021,1448294
20000,KS,Kansas,Unemployed_2021,49932
20000,KS,Kansas,Unemployment_rate_2021,3.3
20000,KS,Kansas,Civilian_labor_force_2022,1502603
20000,KS,Kansas,Employed_2022,1463010
20000,KS,Kansas,Unemployed_2022,39593
20000,KS,Kansas,Unemployment_rate_2022,2.6
20000,KS,Kansas,Civilian_labor_force_2023,1510988
20000,KS,Kansas,Employed_2023,1470936
20000,KS,Kansas,Unemployed_2023,40052
20000,KS,Kansas,Unemployment_rate_2023,2.7
20000,KS,Kansas,Median_Household_Income_2022,68827
20000,KS,Kansas,Med_HH_Income_Percent_of_State_Total_2022,100
21000,KY,Kentucky,Civilian_labor_force_2019,2064637
21000,KY,Kentucky,Employed_2019,1979803
21000,KY,Kentucky,Unemployed_2019,84834
21000,KY,Kentucky,Unemployment_rate_2019,4.1
21000,KY,Kentucky,Civilian_labor_force_2020,2005210
21000,KY,Kentucky,Employed_2020,1874863
21000,KY,Kentucky,Unemployed_2020,130347
21000,KY,Kentucky,Unemployment_rate_2020,6.5
21000,KY,Kentucky,Civilian_labor_force_2021,2010884
21000,KY,Kentucky,Employed_2021,1921355
21000,KY,Kentucky,Unemployed_2021,89529
21000,KY,Kentucky,Unemployment_rate_2021,4.5
21000,KY,Kentucky,Civilian_labor_force_2022,2030274
21000,KY,Kentucky,Employed_2022,1948312
21000,KY,Kentucky,Unemployed_2022,81962
21000,KY,Kentucky,Unemployment_rate_2022,4
21000,KY,Kentucky,Civilian_labor_force_2023,2026263
21000,KY,Kentucky,Employed_2023,1941994
21000,KY,Kentucky,Unemployed_2023,84269
21000,KY,Kentucky,Unemployment_rate_2023,4.2
21000,KY,Kentucky,Median_Household_Income_2022,59246
21000,KY,Kentucky,Med_HH_Income_Percent_of_State_Total_2022,100
22000,LA,Louisiana,Civilian_labor_force_2019,2101749
22000,LA,Louisiana,Employed_2019,2004115
22000,LA,Louisiana,Unemployed_2019,97634
22000,LA,Louisiana,Unemployment_rate_2019,4.6
22000,LA,Louisiana,Civilian_labor_force_2020,2052043
22000,LA,Louisiana,Employed_2020,1875244
22000,LA,Louisiana,Unemployed_2020,176799
22000,LA,Louisiana,Unemployment_rate_2020,8.6
22000,LA,Louisiana,Civilian_labor_force_2021,2056137
22000,LA,Louisiana,Employed_2021,1941271
22000,LA,Louisiana,Unemployed_2021,114866
22000,LA,Louisiana,Unemployment_rate_2021,5.6
22000,LA,Louisiana,Civilian_labor_force_2022,2068817
22000,LA,Louisiana,Employed_2022,1993244
22000,LA,Louisiana,Unemployed_2022,75573
22000,LA,Louisiana,Unemployment_rate_2022,3.7
22000,LA,Louisiana,Civilian_labor_force_2023,2076760
22000,LA,Louisiana,Employed_2023,2000152
22000,LA,Louisiana,Unemployed_2023,76608
22000,LA,Louisiana,Unemployment_rate_2023,3.7
22000,LA,Louisiana,Median_Household_Income_2022,55458
22000,LA,Louisiana,Med_HH_Income_Percent_of_State_Total_2022,100
23000,ME,Maine,Civilian_labor_force_2019,698261
23000,ME,Maine,Employed_2019,678011
23000,ME,Maine,Unemployed_2019,20250
23000,ME,Maine,Unemployment_rate_2019,2.9
23000,ME,Maine,Civilian_labor_force_2020,671979
23000,ME,Maine,Employed_2020,637985
23000,ME,Maine,Unemployed_2020,33994
23000,ME,Maine,Unemployment_rate_2020,5.1
23000,ME,Maine,Civilian_labor_force_2021,688542
23000,ME,Maine,Employed_2021,656138
23000,ME,Maine,Unemployed_2021,32404
23000,ME,Maine,Unemployment_rate_2021,4.7
23000,ME,Maine,Civilian_labor_force_2022,681172
23000,ME,Maine,Employed_2022,661833
23000,ME,Maine,Unemployed_2022,19339
23000,ME,Maine,Unemployment_rate_2022,2.8
23000,ME,Maine,Civilian_labor_force_2023,687322
23000,ME,Maine,Employed_2023,667619
23000,ME,Maine,Unemployed_2023,19703
23000,ME,Maine,Unemployment_rate_2023,2.9
23000,ME,Maine,Median_Household_Income_2022,69485
23000,ME,Maine,Med_HH_Income_Percent_of_State_Total_2022,100
