FIPStxt,State,Area_Name,Attribute,Value
4000,AZ,Arizona,R_DOMESTIC_MIG_2021,11.4
4000,AZ,Arizona,R_DOMESTIC_MIG_2022,9.5
4000,AZ,Arizona,R_DOMESTIC_MIG_2023,4.9
4000,AZ,Arizona,R_NET_MIG_2021,12.5
4000,AZ,Arizona,R_NET_MIG_2022,12.6
4000,AZ,Arizona,R_NET_MIG_2023,7.8
5000,AR,Arkansas,CENSUS_2020_POP,3011524
5000,AR,Arkansas,ESTIMATES_BASE_2020,3011490
5000,AR,Arkansas,POP_ESTIMATE_2020,3014348
5000,AR,Arkansas,POP_ESTIMATE_2021,3028443
5000,AR,Arkansas,POP_ESTIMATE_2022,3046404
5000,AR,Arkansas,POP_ESTIMATE_2023,3067732
5000,AR,Arkansas,N_POP_CHG_2020,2858
5000,AR,Arkansas,N_POP_CHG_2021,14095
5000,AR,Arkansas,N_POP_CHG_2022,17961
5000,AR,Arkansas,N_POP_CHG_2023,21328
5000,AR,Arkansas,BIRTHS_2020,8509
5000,AR,Arkansas,BIRTHS_2021,34927
5000,AR,Arkansas,BIRTHS_2022,36298
5000,AR,Arkansas,BIRTHS_2023,35566
5000,AR,Arkansas,DEATHS_2020,8475
5000,AR,Arkansas,DEATHS_2021,40180
5000,AR,Arkansas,DEATHS_2022,40362
5000,AR,Arkansas,DEATHS_2023,36473
5000,AR,Arkansas,NATURAL_CHG_2020,34
5000,AR,Arkansas,NATURAL_CHG_2021,-5253
5000,AR,Arkansas,NATURAL_CHG_2022,-4064
5000,AR,Arkansas,NATURAL_CHG_2023,-907
5000,AR,Arkansas,INTERNATIONAL_MIG_2020,94
5000,AR,Arkansas,INTERNATIONAL_MIG_2021,1346
5000,AR,Arkansas,INTERNATIONAL_MIG_2022,3215
5000,AR,Arkansas,INTERNATIONAL_MIG_2023,4096
5000,AR,Arkansas,DOMESTIC_MIG_2020,2537
5000,AR,Arkansas,DOMESTIC_MIG_2021,17806
5000,AR,Arkansas,DOMESTIC_MIG_2022,18841
5000,AR,Arkansas,DOMESTIC_MIG_2023,18106
5000,AR,Arkansas,NET_MIG_2020,2631
5000,AR,Arkansas,NET_MIG_2021,19152
5000,AR,Arkansas,NET_MIG_2022,22056
5000,AR,Arkansas,NET_MIG_2023,22202
5000,AR,Arkansas,RESIDUAL_2020,193
5000,AR,Arkansas,RESIDUAL_2021,196
5000,AR,Arkansas,RESIDUAL_2022,-31
5000,AR,Arkansas,RESIDUAL_2023,33
5000,AR,Arkansas,GQ_ESTIMATES_BASE_2020,82490
5000,AR,Arkansas,GQ_ESTIMATES_2020,82455
5000,AR,Arkansas,GQ_ESTIMATES_2021,82617
5000,AR,Arkansas,GQ_ESTIMATES_2022,84268
5000,AR,Arkansas,GQ_ESTIMATES_2023,85120
5000,AR,Arkansas,R_BIRTH_2021,11.6
5000,AR,Arkansas,R_BIRTH_2022,12
5000,AR,Arkansas,R_BIRTH_2023,11.6
5000,AR,Arkansas,R_DEATH_2021,13.3
5000,AR,Arkansas,R_DEATH_2022,13.3
5000,AR,Arkansas,R_DEATH_2023,11.9
5000,AR,Arkansas,R_NATURAL_CHG_2021,-1.7
5000,AR,Arkansas,R_NATURAL_CHG_2022,-1.3
5000,AR,Arkansas,R_NATURAL_CHG_2023,-0.3
5000,AR,Arkansas,R_INTERNATIONAL_MIG_2021,0.4
5000,AR,Arkansas,R_INTERNATIONAL_MIG_2022,1.1
5000,AR,Arkansas,R_INTERNATIONAL_MIG_2023,1.3
5000,AR,Arkansas,R_DOMESTIC_MIG_2021,5.9
5000,AR,Arkansas,R_DOMESTIC_MIG_2022,6.2
5000,AR,Arkansas,R_DOMESTIC_MIG_2023,5.9
5000,AR,Arkansas,R_NET_MIG_2021,6.3
5000,AR,Arkansas,R_NET_MIG_2022,7.3
5000,AR,Arkansas,R_NET_MIG_2023,7.3
6000,CA,California,CENSUS_2020_POP,39538223
6000,CA,California,ESTIMATES_BASE_2020,39538212
6000,CA,California,POP_ESTIMATE_2020,39503200
6000,CA,California,POP_ESTIMATE_2021,39145060
6000,CA,California,POP_ESTIMATE_2022,39040616
6000,CA,California,POP_ESTIMATE_2023,38965193
6000,CA,California,N_POP_CHG_2020,-35012
6000,CA,California,N_POP_CHG_2021,-358140
6000,CA,California,N_POP_CHG_2022,-104444
6000,CA,California,N_POP_CHG_2023,-75423
6000,CA,California,BIRTHS_2020,103133
6000,CA,California,BIRTHS_2021,412506
6000,CA,California,BIRTHS_2022,423922
6000,CA,California,BIRTHS_2023,414120
6000,CA,California,DEATHS_2020,74587
6000,CA,California,DEATHS_2021,345181
6000,CA,California,DEATHS_2022,318145
6000,CA,California,DEATHS_2023,302704
6000,CA,California,NATURAL_CHG_2020,28546
6000,CA,California,NATURAL_CHG_2021,67325
6000,CA,California,NATURAL_CHG_2022,105777
6000,CA,California,NATURAL_CHG_2023,111416
6000,CA,California,INTERNATIONAL_MIG_2020,1383
6000,CA,California,INTERNATIONAL_MIG_2021,44116
6000,CA,California,INTERNATIONAL_MIG_2022,126517
6000,CA,California,INTERNATIONAL_MIG_2023,150982
6000,CA,California,DOMESTIC_MIG_2020,-67932
6000,CA,California,DOMESTIC_MIG_2021,-458862
6000,CA,California,DOMESTIC_MIG_2022,-332785
6000,CA,California,DOMESTIC_MIG_2023,-338371
6000,CA,California,NET_MIG_2020,-66549
6000,CA,California,NET_MIG_2021,-414746
6000,CA,California,NET_MIG_2022,-206268
6000,CA,California,NET_MIG_2023,-187389
6000,CA,California,RESIDUAL_2020,2991
6000,CA,California,RESIDUAL_2021,-10719
6000,CA,California,RESIDUAL_2022,-3953
6000,CA,California,RESIDUAL_2023,550
6000,CA,California,GQ_ESTIMATES_BASE_2020,917958
6000,CA,California,GQ_ESTIMATES_2020,897669
6000,CA,California,GQ_ESTIMATES_2021,771170
6000,CA,California,GQ_ESTIMATES_2022,886334
6000,CA,California,GQ_ESTIMATES_2023,891995
6000,CA,California,R_BIRTH_2021,10.5
6000,CA,California,R_BIRTH_2022,10.8
6000,CA,California,R_BIRTH_2023,10.6
6000,CA,California,R_DEATH_2021,8.8
6000,CA,California,R_DEATH_2022,8.1
6000,CA,California,R_DEATH_2023,7.8
6000,CA,California,R_NATURAL_CHG_2021,1.7
6000,CA,California,R_NATURAL_CHG_2022,2.7
6000,CA,California,R_NATURAL_CHG_2023,2.9
6000,CA,California,R_INTERNATIONAL_MIG_2021,1.1
6000,CA,California,R_INTERNATIONAL_MIG_2022,3.2
6000,CA,California,R_INTERNATIONAL_MIG_2023,3.9
6000,CA,California,R_DOMESTIC_MIG_2021,-11.7
6000,CA,California,R_DOMESTIC_MIG_2022,-8.5
6000,CA,California,R_DOMESTIC_MIG_2023,-8.7
6000,CA,California,R_NET_MIG_2021,-10.5
6000,CA,California,R_NET_MIG_2022,-5.3
6000,CA,California,R_NET_MIG_2023,-4.8
8000,CO,Colorado,CENSUS_2020_POP,5773714
8000,CO,Colorado,ESTIMATES_BASE_2020,5773707
8000,CO,Colorado,POP_ESTIMATE_2020,5785219
8000,CO,Colorado,POP_ESTIMATE_2021,5811596
8000,CO,Colorado,POP_ESTIMATE_2022,5841039
8000,CO,Colorado,POP_ESTIMATE_2023,5877610
8000,CO,Colorado,N_POP_CHG_2020,11512
8000,CO,Colorado,N_POP_CHG_2021,26377
